V2_mean	Isense_mean	dt
0	510	510
0	509	510	-509
0	510	510	-510
0	509	511	-509
0	510	509	-510
0	509	510	-509
0	510	509	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	510	511	-510
0	510	510	-510
0	510	511	-510
0	510	510	-510
0	510	510	-510
0	510	509	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	511	509	-511
0	510	510	-510
0	511	509	-511
0	510	510	-510
0	510	510	-510
0	510	511	-510
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	509	510	-509
0	509	510	-509
0	509	510	-509
0	509	511	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	510	511	-510
0	510	510	-510
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	508	510	-508
0	509	510	-509
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	511	510	-511
0	510	509	-510
0	511	510	-511
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	510	509	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	509	509	-509
0	509	510	-509
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	510	510	-510
0	510	509	-510
0	510	510	-510
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	510	510	-510
0	511	511	-511
0	510	510	-510
0	510	511	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	510	510	-510
0	510	509	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	509	510	-509
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	509	510	-509
0	509	509	-509
0	510	510	-510
0	509	510	-509
0	510	509	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	511	-510
0	510	509	-510
0	510	510	-510
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	511	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	509	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	509	-510
0	510	510	-510
0	510	509	-510
0	509	510	-509
0	511	510	-511
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	511	509	-511
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	509	-509
0	509	509	-509
0	509	510	-509
0	509	511	-509
0	509	510	-509
0	510	510	-510
0	509	509	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	509	-510
0	510	510	-510
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	510	511	-510
0	510	511	-510
0	511	510	-511
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	510	509	-510
0	510	509	-510
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	509	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	509	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	511	-510
0	511	510	-511
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	511	510	-511
0	510	509	-510
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	511	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	510	510	-510
0	510	511	-510
0	510	510	-510
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	511	511	-511
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	509	-510
0	510	510	-510
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	509	510	-509
0	509	510	-509
0	510	510	-510
0	509	511	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	509	-510
0	510	509	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	509	-510
0	509	511	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	510	511	-510
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	511	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	509	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	511	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	510	509	-510
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	511	510	-511
0	510	509	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	511	-509
0	509	510	-509
0	509	510	-509
0	509	510	-509
0	510	510	-510
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	511	-510
0	509	510	-509
0	510	510	-510
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	510	510	-510
0	510	509	-510
0	511	510	-511
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	511	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	510	509	-510
0	510	509	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	509	-509
0	510	510	-510
0	509	511	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	511	510	-511
0	510	509	-510
0	510	510	-510
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	510	510	-510
0	510	509	-510
0	510	509	-510
0	510	510	-510
0	510	511	-510
0	509	510	-509
0	510	510	-510
0	509	511	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	509	510	-509
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	509	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	510	511	-510
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	510	509	-510
0	510	510	-510
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	509	510	-509
0	510	509	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	509	510	-509
0	509	511	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	510	509	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	511	510	-511
0	511	510	-511
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	511	511	-511
0	510	509	-510
0	510	510	-510
0	510	511	-510
0	511	510	-511
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	509	510	-509
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	509	510	-509
0	509	509	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	511	510	-511
0	509	510	-509
0	510	511	-510
0	510	509	-510
0	511	510	-511
0	511	510	-511
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	509	509	-509
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	509	509	-509
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	509	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	509	-510
0	511	510	-511
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	511	510	-511
0	510	509	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	510	509	-510
0	510	510	-510
0	509	510	-509
0	510	511	-510
0	509	509	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	509	510	-509
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	510	510	-510
0	510	509	-510
0	510	510	-510
0	509	509	-509
0	510	511	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	509	510	-509
0	509	510	-509
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	511	511	-511
0	510	509	-510
0	511	510	-511
0	510	510	-510
0	510	509	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	511	-510
0	508	510	-508
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	509	-509
0	510	509	-510
0	509	509	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	509	-510
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	511	-510
0	510	509	-510
0	511	510	-511
0	510	509	-510
0	511	509	-511
0	510	510	-510
0	510	509	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	509	-510
0	509	510	-509
0	510	510	-510
0	509	509	-509
0	510	511	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	510	510	-510
0	510	509	-510
0	510	510	-510
0	510	511	-510
0	510	510	-510
0	509	510	-509
0	510	509	-510
0	510	510	-510
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	511	-509
0	510	510	-510
0	509	510	-509
0	509	510	-509
0	509	510	-509
0	510	510	-510
0	509	509	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	511	510	-511
0	510	509	-510
0	511	510	-511
0	510	510	-510
0	511	510	-511
0	510	509	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	511	-510
0	510	510	-510
0	509	510	-509
0	509	510	-509
0	509	510	-509
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	511	-510
0	509	510	-509
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	509	-510
0	511	511	-511
0	510	509	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	511	509	-511
0	510	510	-510
0	510	510	-510
0	510	509	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	509	509	-509
0	509	510	-509
0	509	510	-509
0	509	510	-509
0	510	510	-510
0	509	509	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	511	510	-511
0	510	509	-510
0	510	510	-510
0	510	509	-510
0	510	510	-510
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	511	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	511	-510
0	509	510	-509
0	509	510	-509
0	509	510	-509
0	509	510	-509
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	509	-510
0	509	509	-509
0	511	511	-511
0	510	510	-510
0	511	509	-511
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	510	510	-510
0	510	511	-510
0	511	511	-511
0	510	509	-510
0	511	510	-511
0	510	510	-510
0	511	511	-511
0	510	510	-510
0	510	509	-510
0	509	510	-509
0	510	510	-510
0	509	509	-509
0	510	511	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	509	-509
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	509	-510
0	510	511	-510
0	511	510	-511
0	510	510	-510
0	510	509	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	511	509	-511
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	511	-510
0	510	510	-510
0	509	511	-509
0	510	509	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	509	510	-509
0	509	509	-509
0	510	510	-510
0	509	510	-509
0	509	510	-509
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	509	-510
0	510	510	-510
0	510	511	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	511	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	511	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	511	510	-511
0	510	511	-510
0	511	510	-511
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	509	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	509	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	509	510	-509
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	509	510	-509
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	509	-509
0	510	509	-510
0	510	510	-510
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	510	511	-510
0	511	510	-511
0	511	510	-511
0	511	511	-511
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	509	510	-509
0	510	511	-510
0	510	510	-510
0	510	510	-510
0	509	510	-509
0	509	510	-509
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	510	510	-510
0	510	509	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	509	-510
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	509	-509
0	510	510	-510
0	509	509	-509
0	510	511	-510
0	509	509	-509
0	510	511	-510
0	509	510	-509
0	510	509	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	509	-510
0	510	510	-510
0	510	509	-510
0	509	509	-509
0	510	510	-510
0	510	510	-510
0	511	510	-511
0	510	509	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	511	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	509	510	-509
0	510	511	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	509	-510
0	510	510	-510
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	511	511	-511
0	510	510	-510
0	511	509	-511
0	510	510	-510
0	511	511	-511
0	510	510	-510
0	511	510	-511
0	510	509	-510
0	511	510	-511
0	510	510	-510
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	509	510	-509
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	510	510	-510
0	510	511	-510
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	511	510	-511
0	510	509	-510
0	510	510	-510
0	510	511	-510
0	510	511	-510
0	510	510	-510
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	509	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	509	-510
0	510	510	-510
0	510	509	-510
0	510	510	-510
0	510	510	-510
0	511	510	-511
0	510	509	-510
0	511	510	-511
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	509	-510
0	510	510	-510
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	509	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	509	510	-509
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	509	-509
0	510	509	-510
0	510	510	-510
0	510	510	-510
0	510	509	-510
0	511	510	-511
0	510	510	-510
0	511	509	-511
0	510	510	-510
0	510	509	-510
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	509	-510
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	510	509	-510
0	510	510	-510
0	509	509	-509
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	509	510	-509
0	509	510	-509
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	511	-510
0	510	510	-510
0	511	510	-511
0	510	509	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	511	509	-511
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	509	-509
0	510	509	-510
0	509	510	-509
0	510	510	-510
0	509	509	-509
0	510	510	-510
0	509	510	-509
0	510	511	-510
0	509	510	-509
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	509	510	-509
0	511	510	-511
0	510	510	-510
0	511	510	-511
0	509	510	-509
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	509	510	-509
0	510	509	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	511	510	-511
0	509	510	-509
0	511	510	-511
0	510	509	-510
0	511	510	-511
0	510	510	-510
0	510	511	-510
0	510	510	-510
0	511	509	-511
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	509	-510
0	510	510	-510
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	509	510	-509
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	511	509	-511
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	511	-510
0	509	510	-509
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	509	510	-509
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	511	-510
0	510	509	-510
0	511	510	-511
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	511	-510
0	511	510	-511
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	509	510	-509
0	509	510	-509
0	509	511	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	510	511	-510
0	510	510	-510
0	510	511	-510
0	510	510	-510
0	510	509	-510
0	511	510	-511
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	511	509	-511
0	510	509	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	509	-509
0	509	509	-509
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	509	-510
0	509	510	-509
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	511	511	-511
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	509	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	509	510	-509
0	509	510	-509
0	509	510	-509
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	509	-510
0	511	510	-511
0	510	511	-510
0	511	510	-511
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	511	-509
0	510	510	-510
0	509	510	-509
0	509	510	-509
0	509	510	-509
0	509	510	-509
0	509	509	-509
0	510	510	-510
0	509	511	-509
0	510	510	-510
0	510	509	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	510	510	-510
0	510	511	-510
0	510	510	-510
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	511	509	-511
0	510	510	-510
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	509	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	509	510	-509
0	509	509	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	509	-509
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	511	510	-511
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	510	-510
0	510	511	-510
0	510	510	-510
0	509	510	-509
0	510	510	-510
0	509	510	-509
